114,udp,udp://114.114.114.114/
adguard,rfc8484,https://dns.adguard.com/dns-query
adguard,tls,tcp-tls://dns.adguard.com/
adguard,udp,udp://176.103.130.130/
alidns,rfc8484,https://dns.alidns.com/dns-query
alidns,tls,tcp-tls://223.5.5.5/
alidns,udp,udp://223.5.5.5/
baidu,udp,udp://180.76.76.76/
cloudflare,rfc8484,https://security.cloudflare-dns.com/dns-query
cloudflare,tls,tcp-tls://one.one.one.one/
cloudflare,udp,udp://1.1.1.1/
cnnic,udp,udp://1.2.4.8/
containerpi,google,https://dns.containerpi.com/dns-query
containerpi,rfc8484,https://dns.containerpi.com/dns-query
containerpi,tls,tcp-tls://dns.containerpi.com/
dnspai,udp,udp://101.226.4.6/
dnspod,udp,udp://119.29.29.29/
dyn,udp,udp://216.146.35.35/
google,google,https://dns.google/resolve
google,rfc8484,https://dns.google/dns-query
google,tls,tcp-tls://8.8.8.8/
google,udp,udp://8.8.8.8/
he,rfc8484,https://ordns.he.net/dns-query
he,udp,udp://74.82.42.42/
nextdns,rfc8484,https://dns.nextdns.io/e83b12
nextdns,tls,tcp-tls://76dc6f.dns.nextdns.io/
nextdns,udp,udp://45.90.28.253/
onedns,udp,udp://117.50.11.11/
opendns,rfc8484,https://doh.opendns.com/dns-query
opendns,udp,udp://208.67.222.222/
quad9,rfc8484,https://dns.quad9.net/dns-query
quad9,tls,tcp-tls://dns.quad9.net/
quad9,udp,udp://9.9.9.9/
safedns,udp,udp://195.46.39.39/
